1 770
2 1797
4 3594
8 7188
16 14376
32 28752
64 57504
128 49216
256 197123
512 460039
1024 920078
2048 1840156
4096 3680312
8192 7360624
16384 14721248
32768 12599488
65536 50463488
131072 117769984
262144 235539968
524288 471079936
1048576 942159872
2097152 1884319744
4194304 3768639488
8388608 3225468928
16777216 12918652928
33554432 30149115904
67108864 60298231808
134217728 120596463616
268435456 241192927232
536870912 482385854464
1073741824 964771708928
2147483648 825720045568
4294967296 3307175149568
8589934592 7718173671424
17179869184 15436347342848
34359738368 30872694685696
68719476736 61745389371392
137438953472 123490778742784
274877906944 246981557485568
549755813888 211384331665408
1099511627776 846636838289408
2199023255552 1975852459884544
4398046511104 3951704919769088
8796093022208 7903409839538176
17592186044416 15806819679076352
35184372088832 31613639358152704
70368744177664 63227278716305408
140737488355328 54114388906344448
281474976710656 216739030602088448
562949953421312 505818229730443264
1125899906842624 1011636459460886528
2251799813685248 2023272918921773056
4503599627370496 4046545837843546112
9007199254740992 8093091675687092224
18014398509481984 16186183351374184448
36028797018963968 13853283560024178688
72057594037927936 144959613005987840
144115188075855872 362258295026614272
288230376151711744 724516590053228544
576460752303423488 1449033180106457088
1152921504606846976 2898066360212914176
2305843009213693952 5796132720425828352
4611686018427387904 11592265440851656704
9223372036854775808 4665729213955833856
